Question 1,Reason 1,Question 2,Reason 2,Relative_difficulty
What is d-separation for directed graphical models?,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Describe the law of large numbers.,"[""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Second question is more difficult
How do you handle missing inputs in classification ?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",What is second derivative.,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What makes one representation better than another in the context of representation learning?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the obstracles in knowing whether a Markov chain has mixed or not?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What are some successful applications of Bidirectional recurrent neural networks (or bidirectional RNNs)?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is teacher forcing in the context of RNN?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What is d-separation for directed graphical models?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",What is free energy?,"[""Appears towards the end of the book or is otherwise hidden"", ""Appears early in the book or is otherwise highlighted"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",First question is more difficult
What does the direction of the arrow indicate in a directed graphical model?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",What is a complete graph for an undirected graphical model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What are equality constraints and inequality constraints in generalized Lagrange function?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What are two different type of parameters in a multi-task model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",When do we use Monte Carlo sampling?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the general principle of deep learning models?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What are the computational advantages of diagonal matrices?,"[""Involves intricate mathematics""]",Describe stochastic matrices.,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",First question is more difficult
How model capacity is related to overfitting ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What are saddle points?,"[""Is about a fundamental concept"", ""Is about an obscure concept""]",They are equally difficult
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
Describe few basic strategies for setting the time constants used by leaky units.,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the core idea behind initial long short-term memory model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",First question is more difficult
What are two different type of parameters in a multi-task model?,"[""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",Why do neural networks struggle to memorize facts whereas they excel at storing implicit knowledge?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why structured probabilistic models are called graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is a structured probabilistic model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
Describe stochastic matrices.,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",How do you define a positive semi-definite matrix?,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
What is the goal of a machine learning algorithm?,"[""Is about a fundamental concept""]",What is second derivative.,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
What are the disadvantages of deep belief networks?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",When SML is vulnerable to becoming inaccurate?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is a disadvantage of the REINFORCE algorithm?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is the motivation for probabilistic max pooling?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is a factor graph?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Define an energy based model.,"[""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Give an example of norm functions.,"[""Is about a fundamental concept""]",How do you handle missing inputs in classification ?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
What is the effect of using approximate inference as part of a learning algorithm?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",They are equally difficult
What is the difference between softmax and argmax function?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",What is the difference between linear models and neural network?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
How to get truly independent samples from Markov chain?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Describe the law of large numbers.,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Second question is more difficult
What is a vector?,"[""Is about a fundamental concept"", ""Is about an obscure concept""]",What is generalization in machine learning ?,"[""Is about a fundamental concept""]",Second question is more difficult
What is a vector?,"[""Is about a fundamental concept"", ""Is about an obscure concept""]",What is broadcasting?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What is a probability distribution?,"[""Is about a fundamental concept""]",How do you define a positve definite matrix?,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
Describe EM algorithm.,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is a disadvantage of the REINFORCE algorithm?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
how do you Define Hessian matrix.,"[""Involves intricate mathematics"", ""Is about an obscure concept""]",Give an example of norm functions.,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What is teacher forcing in the context of RNN?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What does Invariance to translation means ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",First question is more difficult
What is the motivation of slow feature analysis?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the idea behind echo state networks or ESNs and liquid state machines?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is a square matrix?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is the Euclidean norm?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",They are equally difficult
What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",What is factor analysis?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",Second question is more difficult
Why structured probabilistic models are called graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",What is the semantics of structured probabilistic models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",They are equally difficult
How do you define expectation of a function?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is parametric models ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What is a disadvantage of the REINFORCE algorithm?,"[""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How a chordal or triangulated graph is formed?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why the bidirectional RNNs are called bidirectional?,"[""Appears early in the book or is otherwise highlighted"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Why parameter sharing is important?,"[""Appears early in the book or is otherwise highlighted"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
What is a complete graph for a directed graphical model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What are different types of randomized algorithms?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
Why should we use deterministic approximate algorithms or Monte Carlo algorithms in machine learning?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is d-separation for directed graphical models?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is the reason to use vector valued memory cells?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",How do define the span of a set of vectors?,"[""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
Why model averaging works?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",How the linear operations are guaranteed to be commutative in CNN?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
What is the difference between Las Vegas and Monte Carlo algorithms?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Describe EM algorithm.,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How do you define a positve definite matrix?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How do you define a positive semi-definite matrix?,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
How does convolutional net is related to a fully connected net?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is the difference between linear models and neural network?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How do you use damping to perform block updates in binary sparse coding?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept""]",What is the obstracles in knowing whether a Markov chain has mixed or not?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is a disadvantage of the REINFORCE algorithm?,"[""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",In what scenario generalized pseudolikelihood techniques are especially powerful?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",They are equally difficult
What makes one representation better than another in the context of representation learning?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is a heuristic technique for performing block updates in binary sparse coding?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is the RNN-RBM model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",How to deal with long term dependencies in RNN?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",They are equally difficult
What are the use cases of score matching?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Do we need to specify a specific parametric form for variational learning?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",They are equally difficult
How do you define a linear combination of a set of vectors?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",How do you define orthonormality between two vectors?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",They are equally difficult
What is the relation between maximum likelihood learning and KL divergence?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What is model capacity in machine learning ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",How do you define a positve definite matrix?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
What is a complete graph for a directed graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What does the direction of the arrow indicate in a directed graphical model?,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How to produce an output map of similar size as the input in CNN?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",What is the advantage of parameter sharing over regularizing the parameters to be close?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
What are the different categories of graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
Do we need to specify a specific parametric form for variational learning?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",What are the disadvantages of deep belief networks?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
Describe few basic strategies for setting the time constants used by leaky units.,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is the purpose of dropout?,"[""Appears early in the book or is otherwise highlighted"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
How does convolutional net is related to a fully connected net?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the advantage of parameter sharing over regularizing the parameters to be close?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
How to draw samples from RNN considering it as graphical model?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",How NTMs alleviate the problem of optimizing functions that produce exact integer addresses?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What are different generalization of rectified linear unit?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",Describe few basic strategies for setting the time constants used by leaky units.,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is gradient descent,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]","What is steepest descent, or gradient descent.","[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What is a complete graph for a directed graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Involves many prerequisite concepts""]",Why does the Boltzmann machine become more powerful when not all variables are observed?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
What is the Hadamard product?,"[""Is about a fundamental concept""]",Give an example of norm functions.,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
Why parameter sharing is important?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is an infinitely strong prior ?,"[""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How to draw samples from RNN considering it as graphical model?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Describe a structured probabilistic model or graphical model.,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What are the advantages of variational approach?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",How ratio matching avoids the partition function?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",They are equally difficult
What are different generalization of rectified linear unit?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is teacher forcing in the context of RNN?,"[""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What is teacher forcing in the context of RNN?,"[""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How does the pseudoinverse of matrix A help in solving Ax = y?,"[""Involves intricate mathematics"", ""Is about a fundamental concept""]",How do you define a linear combination of a set of vectors?,"[""Is about a fundamental concept""]",First question is more difficult
How do define the span of a set of vectors?,"[""Is about a fundamental concept""]",Why do neural networks struggle to memorize facts whereas they excel at storing implicit knowledge?,"[""Involves many prerequisite concepts"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",Second question is more difficult
What is d-separation for directed graphical models?,"[""Appears early in the book or is otherwise highlighted"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",When to use an undirected model?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What is a disadvantage of the REINFORCE algorithm?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Why does the Boltzmann machine become more powerful when not all variables are observed?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is a factor graph?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why feedforward neural networks are called feedforward?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is the reason to use vector valued memory cells?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
How do you define a positve definite matrix?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",How do define the span of a set of vectors?,"[""Is about a fundamental concept""]",They are equally difficult
What is a complete graph for a directed graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What are leaky units?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
How do you use damping to perform block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How to mitigate the problem of high correlation of two successive samples in markov chain monte carlo methods?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is a structured probabilistic model?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
When to use an undirected model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Is about a fundamental concept""]",Why an energy-based model is a special kind of Markov network?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why ESNs and liquid state machines are termed reservoir computing?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",How do you define a recurrent neural network by computational graphs?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts""]",First question is more difficult
Why CD is useful for training shallow models but does not provide much help for training deeper models?,"[""Involves many prerequisite concepts""]",Why should we use deterministic approximate algorithms or Monte Carlo algorithms in machine learning?,"[""Does not involve a lot of prerequisite concepts""]",First question is more difficult
What is the relation between maximum likelihood learning and KL divergence?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Why feedforward neural networks are called feedforward?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How can we determine whether the Markov chain has mixed or not?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
How to deal with long term dependencies in RNN?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",How to draw samples from RNN considering it as graphical model?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
